Date,HK Unemployment
1980-12-31,3.8
1981-12-31,3.9
1982-12-31,3.522
1983-12-31,4.35
1984-12-31,3.876
1985-12-31,3.183
1986-12-31,2.817
1987-12-31,1.736
1988-12-31,1.366
1989-12-31,1.078
1990-12-31,1.33
1991-12-31,1.798
1992-12-31,1.957
1993-12-31,1.971
1994-12-31,1.919
1995-12-31,3.187
1996-12-31,2.767
1997-12-31,2.202
1998-12-31,4.702
1999-12-31,6.249
2000-12-31,4.946
2001-12-31,5.097
2002-12-31,7.305
2003-12-31,7.923
2004-12-31,6.81
2005-12-31,5.576
2006-12-31,4.781
2007-12-31,4.022
2008-12-31,3.522
2009-12-31,5.246
2010-12-31,4.322
2011-12-31,3.398
2012-12-31,3.293
2013-12-31,3.37
2014-12-31,3.252
2015-12-31,3.252
2016-12-31,3.156
2017-12-31,3.059
2018-12-31,2.962
2019-12-31,2.962
2020-12-31,2.962
2021-12-31,2.962
