Date,US Interest
2000-01-03,6.598
2000-01-04,6.532
2000-01-05,6.631
2000-01-06,6.572
2000-01-07,6.537
2000-01-10,6.59
2000-01-11,6.677
2000-01-12,6.701
2000-01-13,6.639
2000-01-14,6.688
2000-01-18,6.742
2000-01-19,6.716
2000-01-20,6.727
2000-01-21,6.709
2000-01-24,6.647
2000-01-25,6.634
2000-01-26,6.586
2000-01-27,6.525
2000-01-28,6.431
2000-01-31,6.491
2000-02-01,6.421
2000-02-02,6.315
2000-02-03,6.164
2000-02-04,6.225
2000-02-07,6.334
2000-02-08,6.22
2000-02-09,6.301
2000-02-10,6.436
2000-02-11,6.293
2000-02-14,6.217
2000-02-15,6.244
2000-02-16,6.265
2000-02-17,6.212
2000-02-18,6.148
2000-02-22,6.068
2000-02-23,6.135
2000-02-24,6.126
2000-02-25,6.153
2000-02-28,6.189
2000-02-29,6.133
2000-03-01,6.151
2000-03-02,6.144
2000-03-03,6.117
2000-03-06,6.144
2000-03-07,6.148
2000-03-08,6.16
2000-03-09,6.148
2000-03-10,6.189
2000-03-13,6.162
2000-03-14,6.106
2000-03-15,6.072
2000-03-16,6.039
2000-03-17,6.001
2000-03-20,5.988
2000-03-21,5.966
2000-03-22,5.968
2000-03-23,5.904
2000-03-24,5.984
2000-03-27,5.986
2000-03-28,5.988
2000-03-29,5.962
2000-03-30,5.873
2000-03-31,5.846
2000-04-03,5.825
2000-04-04,5.737
2000-04-05,5.795
2000-04-06,5.791
2000-04-07,5.708
2000-04-10,5.683
2000-04-11,5.772
2000-04-12,5.841
2000-04-13,5.803
2000-04-14,5.782
2000-04-17,5.908
2000-04-18,5.912
2000-04-19,5.844
2000-04-20,5.825
2000-04-24,5.856
2000-04-25,5.934
2000-04-26,5.942
2000-04-27,5.993
2000-04-28,5.962
2000-05-01,5.976
2000-05-02,6.019
2000-05-03,6.11
2000-05-04,6.174
2000-05-05,6.192
2000-05-08,6.25
2000-05-09,6.208
2000-05-10,6.165
2000-05-11,6.147
2000-05-12,6.199
2000-05-15,6.165
